environment,planner,factor,factor_level,trials,success_rate,mean_total_path_cost,mean_path_length,mean_time_to_goal,mean_energy_consumption,mean_obstacle_interactions,mean_pushed_obstacles,mean_unique_pushed_obstacles,mean_secondary_obstacle_movements
collision_shortcut,bug2,energy_weight,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collision_shortcut,bug2,energy_weight,1.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collision_shortcut,bug2,friction_scale,0.7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collision_shortcut,bug2,friction_scale,1.3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collision_shortcut,bug2,obstacle_count_scale,0.7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collision_shortcut,bug2,obstacle_count_scale,1.3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collision_shortcut,bug2,obstacle_density_scale,0.7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collision_shortcut,bug2,obstacle_density_scale,1.4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collision_shortcut,bug2,obstacle_size_scale,0.75,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collision_shortcut,bug2,obstacle_size_scale,1.35,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collision_shortcut,bug2,robot_radius,0.15,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collision_shortcut,bug2,robot_radius,0.45,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collision_shortcut,dstar_lite,baseline,baseline,1,1.0,24.6274,24.6274,18.0,24.6274,1.0,0.0,0.0,0.0
collision_shortcut,dstar_lite,energy_weight,0.5,1,1.0,24.6274,24.6274,18.0,24.6274,1.0,0.0,0.0,0.0
collision_shortcut,dstar_lite,energy_weight,1.5,1,1.0,24.6274,24.6274,18.0,24.6274,1.0,0.0,0.0,0.0
collision_shortcut,dstar_lite,friction_scale,0.7,1,1.0,24.6274,24.6274,18.0,24.6274,1.0,0.0,0.0,0.0
collision_shortcut,dstar_lite,friction_scale,1.3,1,1.0,24.6274,24.6274,18.0,24.6274,1.0,0.0,0.0,0.0
collision_shortcut,dstar_lite,obstacle_count_scale,0.7,1,1.0,24.6274,24.6274,18.0,24.6274,1.0,0.0,0.0,0.0
collision_shortcut,dstar_lite,obstacle_count_scale,1.3,1,1.0,24.6274,24.6274,18.0,24.6274,1.0,0.0,0.0,0.0
collision_shortcut,dstar_lite,obstacle_density_scale,0.7,1,1.0,24.6274,24.6274,18.0,24.6274,1.0,0.0,0.0,0.0
collision_shortcut,dstar_lite,obstacle_density_scale,1.4,1,1.0,24.6274,24.6274,18.0,24.6274,1.0,0.0,0.0,0.0
collision_shortcut,dstar_lite,obstacle_size_scale,0.75,1,1.0,24.6274,24.6274,18.0,24.6274,1.0,0.0,0.0,0.0
collision_shortcut,dstar_lite,obstacle_size_scale,1.35,1,1.0,25.2132,25.2132,19.0,25.2132,1.0,0.0,0.0,0.0
